metric,day-window,mean
min,1,2459
max,1,71820
min,3,2623.333333333333
max,3,70206.66666666667
min,7,2831.714285714286
max,7,66714.28571428571
min,30,3711
max,30,55093
min,90,5432.922222222222
max,90,37459
